title,image,link,info,score
大国大城,https://img1.doubanio.com/view/subject/m/public/s29440008.jpg,https://book.douban.com/subject/26824237/,陆铭 / 上海人民出版社 / 2016-7-1 / CNY 42.00,8.8
追风筝的人,https://img3.doubanio.com/view/subject/m/public/s1727290.jpg,https://book.douban.com/subject/1770782/,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2006-5 / 29.00元,8.9
小王子,https://img3.doubanio.com/view/subject/m/public/s1103152.jpg,https://book.douban.com/subject/1084336/,[法] 圣埃克苏佩里 / 马振聘 / 人民文学出版社 / 2003-8 / 22.00元,9.0
百年孤独,https://img3.doubanio.com/view/subject/m/public/s6384944.jpg,https://book.douban.com/subject/6082808/,[哥伦比亚] 加西亚·马尔克斯 / 范晔 / 南海出版公司 / 2011-6 / 39.50元,9.2
月亮与六便士,https://img1.doubanio.com/view/subject/m/public/s29634528.jpg,https://book.douban.com/subject/26954760/,[英] 威廉·萨默塞特·毛姆 / 徐淳刚 / 浙江文艺出版社 / 2017-1-1 / 39.80元,8.8
失踪的孩子,https://img1.doubanio.com/view/subject/m/public/s29799269.jpg,https://book.douban.com/subject/30172069/,[意] 埃莱娜·费兰特 / 陈英 / 99读书人|人民文学出版社 / 2018-7 / 62.00元,9.2
霍乱时期的爱情,https://img3.doubanio.com/view/subject/m/public/s11284102.jpg,https://book.douban.com/subject/10594787/,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元,9.0
傲慢与偏见,https://img3.doubanio.com/view/subject/m/public/s4250062.jpg,https://book.douban.com/subject/1083428/,[英] 奥斯丁 / 张玲、张扬 / 人民文学出版社 / 1993-7 / 13.00元,8.8
鲁滨逊漂流记,https://img3.doubanio.com/view/subject/m/public/s1242786.jpg,https://book.douban.com/subject/1016003/,[英] 笛福 / 马静 / 广西民族出版社 / 2002-1 / 9.20元,8.0
老人与海,https://img3.doubanio.com/view/subject/m/public/s1050021.jpg,https://book.douban.com/subject/1064275/,海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元,8.3
1984,https://img1.doubanio.com/view/subject/m/public/s4371408.jpg,https://book.douban.com/subject/4820710/,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00,9.3
飘,https://img1.doubanio.com/view/subject/m/public/s1078958.jpg,https://book.douban.com/subject/1068920/,[美国] 玛格丽特·米切尔 / 李美华 / 译林出版社 / 2000-9 / 40.00元,9.3
简爱（英文全本）,https://img3.doubanio.com/view/subject/m/public/s5924326.jpg,https://book.douban.com/subject/1141406/,[英] 夏洛蒂·勃朗特 / 世界图书出版公司 / 2003-11 / 18.00元,8.5
